drama_name,Genres,Tags,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,imdb_rating,imdb_user_count,imdb_description,kdrama_id,year,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop
Be My Dream Family,"['comedy', 'romance', 'drama', 'family']","['family relationship', 'multiple couples', 'slow burn romance', 'multiple mains', 'marriage', 'twins', 'stay at home dad', 'single mother', 'single father', 'working mom ']",120,29-Mar-21,1-Oct-21,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['KBS1'],30.0,7.9,361.0,1733,5364,15+ - Teens 15 or older,"1,247","['Choi Jung Woo', 'Park Joon Geum', 'Wang Ji Hye', 'Ham Eun Jung', 'Joo Ah Reum', 'Ryu Jin']","['KBS World', 'Viki']",,,,f755dc2a57354976a0ef6986db6e7011,2021,['Kim Jung Gyu'],['Yeo Myung Jae'],South Korea,Drama,120,1800.0,2021-03-29,2021-10-01,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS1,15+ - Teens 15 or older,"An obstinate father in his 70s and a sweet mother in her 60s fall in love. However, their families come from very different cultural backgrounds, so they clash when their parents marry in their twilight years. However, these conflicts lead to understanding and harmony, and they find the meaning of being a true family. Will they continue to be able to unite together peacefully?(Source: Viki) ",1857,5386
Beautiful Gong Shim,"['comedy', 'romance', 'drama']","['sibling rivalry', 'love triangle', 'nice male lead', 'long lost child', 'male chases female first', 'love square', 'poor female lead', 'smart male lead', 'sassy female lead', 'poor male lead ']",20,14-May-16,17-Jul-16,"['saturday', 'sunday']",['SBS'],60.0,7.8,14171.0,2408,284,13+ - Teens 13 or older,"28,603","['Namkoong Min', 'Bang Min Ah', 'Ohn Joo Wan', 'Seo Hyo Rim', 'Oh Hyun Kyung', 'Woo Hyun']",['Viki'],7.4,922,"This drama is about the Love story of two sisters and two men. The older sister has everything, including a beautiful appearance, and the younger sister only has a warm heart. One of the men lives on a rooftop apartment and the other man comes from a wealthy family.",b746c53e64a0439a8c57376def5a15e2,2016,"['Baek Soo Chan', 'Nam Tae Jin']",['Lee Hee Myung'],South Korea,Drama,20,3600.0,2016-05-14,2016-07-17,"Saturday, Sunday",SBS,13+ - Teens 13 or older,"This drama is about the love story of two sisters and two men. The talented older sister has everything, including a beautiful appearance, and her younger sister,  who is less attractive but still has a warm heart. And two men appear in front of the siblings: a progressively more attractive man, who moved into a humble rental room on the rooftop of their building and another man who is handsome and wealthy from a plutocrat family. The romance-comedy drama depicts an eventful and unpredictable love story by the four people from such a warmhearted point of view.(Source: AsianWiki)",3353,351
"Beautiful Love, Wonderful Life","['comedy', 'romance', 'drama', 'melodrama']","['family relationship', 'hateful mother-in-law', 'multiple mains', 'mother-daughter relationship', 'marriage of convenience', 'multiple couples', 'time skip', 'evil mother-in-law', 'clingy male lead', 'unrequited love ']",100,28-Sep-19,22-Mar-20,"['saturday', 'sunday']",['KBS2'],40.0,7.8,1983.0,2364,1435,13+ - Teens 13 or older,"7,052","['Seol In Ah', 'Kim Jae Young', 'Jo Yoon Hee', 'Yoon Park', 'Oh Min Suk', 'Jo Woo Ri']","['KBS World', 'Viki']",,,,40d2e9e6449347dfbf0a0d1f11ef962a,2019,['Han Joon Seo'],['Bae Yoo Mi'],South Korea,Drama,100,2100.0,2019-09-28,2020-03-22,"Saturday, Sunday",KBS2,13+ - Teens 13 or older,"Life is hard, but finding love and happiness can seem nearly impossible. That’s why some, like Kim Seol Ah have decided to focus on a career, rather than waste time and energy on relationships that inevitably end in disaster. A successful career woman, Seol Ah seems to have it all together on the outside, but on the inside, she still longs for the one thing that will make her truly happy.But Seol Ah isn’t the only one struggling. The eldest son of his family, Moon Tae Rang, is a young chef struggling to support the people he loves most while attempting to follow his dreams. He sincerely loves his family, but they have a way of making life difficult at times.Kim Chung Ah knows all about difficulties. Having spent the past eight years studying for the civil service exam, she has given up on any hopes of dating and marriage. As much as she would love to get married and have a family someday, the only thing she has time to think about now is working hard so she can pass the upcoming exam.On the other end of the spectrum, Goo Joon Hwi has absolutely no interest in marriage, relationships, or other people’s affairs. Completely focused on himself and his work, Joon Hwi could happily spend the rest of his life alone, or so he thought...Setting out on an unexpected journey towards love, four souls find that love and happiness often show up in life when you least expect them.(Source: Viki)",3137,1565
Beautiful World,"['thriller', 'mystery', 'life', 'melodrama']","['school bullying', 'coma', 'tearjerker', 'student', 'psychopath', 'high school', 'investigation', 'suspense', 'strong female lead', 'violence ']",16,5-Apr-19,25-May-19,"['friday', 'saturday']","['jTBC', 'Viki']",60.0,8.5,2764.0,282,1153,15+ - Teens 15 or older,"8,857","['Park Hee Soon ', 'Choo Ja Hyun', 'Oh Man Suk', 'Cho Yeo Jung', 'Nam  Da Reum ', 'Kim Hwan Hee']","['Disney+ Hotstar', 'Viki']",8.2,141,"""Beautiful World,"" tells of an incident of school violence which leaves a young boy on the precipice of life and death as his family seeks for justice in his stead.",257807f45ab945328a60505b4a76b37f,2019,['Park Chan Hong'],['Kim Ji Woo'],South Korea,Drama,16,3600.0,2019-04-05,2019-05-25,"Friday, Saturday",jTBC Viki,15+ - Teens 15 or older,"This drama is about a boy on the edge of life and death, and his family's quest to find the truth.  Amidst the lies and secrets, mistrust and pain, the family looks for hope in this crazy world.  Mu Jin, is a teacher and a father. His wife, In Ha, runs 'Ho Ho Bakery' and they have a 9th-grade son and an 8th-grade daughter.  For the sake of their kids' education, they move to a different neighborhood. One day, at their new competitive school, Sun Ho gets into an accident, causing him to become brain dead.  The father and mother, filled with great guilt and rage because of the accident, investigate to find out what happened to cause the accident.  Su Ho, Sun Ho's baby sister, also sets out on her own to find out the truth behind her brother's accident.(Source: JTBC)",406,1284
Because This Is My First Life,"['comedy', 'romance', 'life', 'drama']","['contract relationship', 'marriage of convenience', 'eccentric male lead', 'multiple couples', 'cohabitation', 'nerdy male lead', 'sismance', 'calm male lead', 'cat', 'multiple mains ']",16,9-Oct-17,28-Nov-17,"['monday', 'tuesday']",['tvN'],70.0,8.5,46196.0,350,32,15+ - Teens 15 or older,"83,300","['Jung So Min', 'Lee Min Ki', 'Esom', 'Park Byung Eun', 'Kim Ga Eun', 'Kim Min Seok']","['Apple TV', 'Viki', 'WeTV', 'Netflix']",8.1,"4,762","Ji Ho is a single woman. She's a writing assistant of dramas. She's a strong and determined woman. Unfortunately, she has to leave her house and seeks other place to live. Her friends help her to find a roommate. That roommate is Se Hee.",02e979cb3e9346a2a6d182caff67c6ea,2017,"['Park Joon Hwa', 'Nam Sung Woo']",['Yoon Nan Joong'],South Korea,Drama,16,4200.0,2017-10-09,2017-11-28,"Monday, Tuesday",tvN,15+ - Teens 15 or older,"A house-poor man and homeless woman become housemates in a drama that examines the institution of marriage and the problems that young people face today.Nam Se Hee is a single man in his late 30’s. He has chosen not to marry. He owns his home, but he owes a lot on his mortgage. Meanwhile, Yoon Ji Ho is a single woman in her early 30’s. She does not own a home and envies those that do. She has given up on dating due to her financial struggles. Yoon Ji Ho begins to live at Nam Se Hee’s house. They become housemates.(Source: KoreanDrama.org)",601,33
Becoming Witch,"['mystery', 'comedy']","['female centered plot', 'married female lead', 'housewife female lead', 'married life', 'extramarital affair', 'rich family', 'black comedy', 'infidelity', 'divorce', 'revenge ']",12,25-Jun-22,10-Sep-22,['saturday'],['TV Chosun'],70.0,7.4,94.0,70173,4705,15+ - Teens 15 or older,"1,508","['Lee Yoo Ri', 'Lee Min Young', 'Yoon So Yi', 'Jung Sang Hoon', 'Kim Young Jae', 'Ryu Yeon Seok']",['Netflix'],6.4,18,Three friends from different backgrounds each encounter enemies they'd like to kill.,b966838adf3547069389d6226ad55a67,2022,['Kim Yoon Cheol'],['Park Pa Ran'],South Korea,Drama,12,4200.0,2022-06-25,2022-09-10,Saturday,TV Chosun,15+ - Teens 15 or older,"Three friends from different backgrounds each encounter enemies they’d like to kill. Gong Ma Ri is a housewife who has a satisfying life with her husband and daughter. When she discovers her spouse’s affair, she seeks an alternate method of ending her marriage.Chae Hee Soo is the daughter-in-law in a chaebol family. Her married life isn't going well. Not only must she tend to her mother-in-law who ails physically and suffers from Alzheimer's, she must also endure her husband’s cold indifference toward her as she struggles to become pregnant. One day, Hee Soo's mother-in-law makes her a terrifying yet tempting offer.Yang Jin A's husband is a bad person. Upon his death, Jin A collects a significant sum from his life insurance policy. With that money, she is able to enjoy a lifestyle she was unaccustomed to in the past.  Instead. she keeps a watchful eye over her windfall, anxiously fearing that someone will take it from her. (Source: AsianWiki || Edited by MyDramaList)",6712,4497
Best Chicken,"['food', 'business', 'comedy', 'romance']","[""best friends' relationship"", 'restaurant setting', 'restaurateur male lead', 'webtoon artist male lead', ""brothers' relationship"", 'chasing a dream', 'absent father', 'grandpa-granddaughter relationship', 'secret crush', 'nice male lead ']",12,2-Jan-19,7-Feb-19,"['wednesday', 'thursday']","['DramaX', 'MBN', 'Viki']",65.0,7.3,1443.0,4812,2403,15+ - Teens 15 or older,"3,870","['Park Sun Ho', 'Kim So Hye', 'Joo Woo Jae', 'Lee Seung Hyub', 'Myung Gye Nam', 'Kim Seo Ra']",['Viki'],6.5,40,"A man works for a big company although his dream is to run a chicken restaurant. A woman who lives at a bathhouse that her late grandfather left behind, only leaves her home when she absolutely has to. She wants to become a webtoon writer. These two meet and grow with each other.",8983ed7e3fa9489f9c89f6b03c2e989b,2019,['Lee Seung Hoon'],"['Jo Ah Young', 'Park Chan Young']",South Korea,Drama,12,3900.0,2019-01-02,2019-02-07,"Wednesday, Thursday",DramaX MBN Viki,15+ - Teens 15 or older,"A man works for a big company although his dream is to run a chicken restaurant. A  woman who lives at a bathhouse that her late grandfather left behind, only leaves her home when she absolutely has to.  She wants to become a webtoon writer. These two meet and grow with each other.(Source: MyDramaList) ",7182,2744
Beyond Evil,"['thriller', 'mystery', 'psychological', 'drama']","['determined male lead', 'investigation', 'suspense', 'murder', 'trauma', 'psychological manipulation', 'smart male lead', 'death', 'corruption', 'mother-son relationship ']",16,19-Feb-21,10-Apr-21,"['friday', 'saturday']",['jTBC'],65.0,8.8,15135.0,86,191,15+ - Teens 15 or older,"36,839","['Shin Ha Kyun', 'Yeo Jin Goo', 'Choi Dae Hoon', 'Kim Shin Rok', 'Choi Sung Eun', 'Choi Jin Ho']","['Disney+ Hotstar', 'WeTV', 'Netflix', 'Viki']",8.1,"3,137","The story of two fearless men who are willing to go through extreme lengths in their pursuit of a returning serial killer. To uncover the murderer's identity, the two are forced to look deeper than what the evidence seems to suggest.",427e07e2d7034856b2c6ed86ee178155,2021,['Shim Na Yeon'],['Kim Soo Jin'],South Korea,Drama,16,3900.0,2021-02-19,2021-04-10,"Friday, Saturday",jTBC,15+ - Teens 15 or older,"Meet the two fearless men willing to go to extreme lengths in their pursuit of a serial killer that has shaken up their quiet city: Lee Dong Sik, a once capable detective, is now demoted to perform menial tasks at the Manyang Police Substation. Just as he is beginning to settle into a peaceful life, his new superior, Detective Han Joo Won, is transferred in. Joo Won is an elite detective whose father is the star candidate for the National Police Agency’s next chief. Despite his admirable qualities and high social standing, Joo Won harbors a long-held secret.When a string of gruesome killings occurs, a pattern takes shape that is oddly reminiscent of some cold serial-murder cases from 20 years prior. Dong Sik and Joo Won team up, vowing to stop this vicious culprit in his tracks. As their investigation proceeds, they are forced to look far deeper than what the evidence suggests, questioning the culpability of all those surrounding the case, including their own.(Source: Kdramapal)",183,173
Big Issue,"['thriller', 'mystery', 'romance', 'drama']","['paparazzi', 'badass female lead', 'photography', 'strong female lead', 'investigation', 'boss-employee relationship', 'ex-spouse relationship', 'prosecutor supporting character', 'photographer', 'cold female lead ']",32,6-Mar-19,2-May-19,"['wednesday', 'thursday']",['SBS'],35.0,7.9,1242.0,1933,2260,15+ - Teens 15 or older,"4,188","['Han Ye Seul', 'Joo Jin Mo', 'Shin So Yool', 'Kim Hee Won', 'Park Seon Im', 'Kim Bit Na Ri']","['Apple TV', 'Viki']",7.6,67,A disgraced paparazzo is forced to work for a ruthless scandal sheet in order to get a heart transplant for his daughter. Joo Jin mo is an excellent actor.,2dd1be751b5c4e599998ba09e9deab3a,2019,"['Park Soo Jin', 'Lee Dong Hun']",['Jang Hyuk Rin'],South Korea,Drama,32,2100.0,2019-03-06,2019-05-02,"Wednesday, Thursday",SBS,15+ - Teens 15 or older,"Set within the frenzy world of the paparazzi media. Due to a photograph, Han Seok Joo loses everything, including his job as a photographer for a top newspaper and his family. Ji Soo Hyun is the notorious chief editor of a paparazzi group. She hires the man to become a paparazzi photographer.(Source: AsianWiki) ",2592,2601
Big Mouth,"['thriller', 'mystery', 'law', 'drama']","['lawyer male lead', 'death', 'suspense', 'murder', 'brave female lead', 'investigation', 'assault', 'hardship', 'workplace abuse', 'greed ']",16,29-Jul-22,17-Sep-22,"['friday', 'saturday']",['MBC'],71.0,8.7,2059.0,102,487,15+ - Teens 15 or older,"19,345","['Lee Jong Suk', 'Im Yoon Ah', 'Kim Joo Heon', 'Kwak Dong Yeon', 'Yang Kyung Won', 'Ok Ja Yeon']",['Wavve'],8.3,550,Thriller about an unsuccessful lawyer who gets involved in a murder case and is somehow fingered as genius swindler Big Mouse.,49846934ef8d4b719668046fe9b1b2a9,2022,"['Oh Choong Hwan', 'Bae Hyun Jin']","['Jang Young Chul', 'Jung Kyung Soon']",South Korea,Drama,16,4260.0,2022-07-29,2022-09-17,"Friday, Saturday",Hulu MBC,15+ - Teens 15 or older,"Park Chang Ho is known since his school days as ""Big Mouth"" because he talks big and promises big things but can not follow it up. He is also an infamous lawyer with a very low rate of success who was hired by a Mayor because of his incompetence. Unfortunately, he was framed as the notorious and mysterious swindler ""Big Mouse"" and sent to prison.Go Mi Ho is Park Chang Ho's loving wife who works as a nurse. She has strong personality and will do anything to prove the innocence of her husband and help solve the case the Mayor has given to her husband.Will Go Mi Ho be successful in proving her husband's innocence? Or, will her investigations lead to opening a can of worms?(Source: I'M YourOnlyOne at MyDramaList)",395,163
